ONS code,New constituency name,Total population,Number of households,Aged 15 years and under,Aged 16 to 24 years,Aged 25 to 34 years,Aged 35 to 49 years,Aged 50 to 64 years,Aged 65 years and over,United Kingdom,Ireland,Other Europe,Africa,Middle East and Asia,Americas and the Caribbean,Australasia and others,White British,Other White,Asian / Asian British,Black / Black British,Mixed / Multiple ethnic groups,Other ethnic groups,No religion,Christian,Buddhist,Hindu,Jewish,Muslim,Sikh,Other religion,Not answered,Owned outright,Owned with a mortgage or loan,Private rented,Social rented,Other tenure,Cluster
W07000081,Aberafan Maesteg,92573.0,40810.0,0.186065352416959,0.0955981636510937,0.12438563327032136,0.17963813124493655,0.20879287064542262,0.20551984877126653,0.9661571698622738,0.002743721307048339,0.01365379422090197,0.003283823926546044,0.011093707804482851,0.00213880637321091,0.0009289765055360518,0.9529467680608364,0.01596526097476668,0.015446768060836502,0.002246802627030764,0.010704718285516765,0.0026896819910127894,0.5248177153659195,0.4006697272481772,0.0026357007831487984,0.002948960302457467,0.00017283283823926545,0.008112341344855523,0.0009613826627059141,0.004180394274912233,0.05550094517958412,0.3698603283508944,0.2731928448909581,0.1548149963244303,0.19875030629747611,0.0033815241362411172,6
E14001063,Aldershot,117430.0,46173.0,0.18537852337562805,0.09982117005875842,0.1582474665758324,0.20773226603082687,0.18773737545771949,0.1610831985012348,0.7781524627018189,0.00467504598405886,0.05838272361877512,0.02241297091082499,0.1229307173513182,0.009724776892158867,0.0037213025410450305,0.7315081325044708,0.06183258111215192,0.13277697351613726,0.023673677935791535,0.025002128927871924,0.025206506003576597,0.38386272673081834,0.4320531380396832,0.04221238184450311,0.0515541173465043,0.000672741207527889,0.02230264838627267,0.0021970535638252578,0.011351443413097165,0.053793749467768034,0.27698005327788966,0.35460117384618717,0.19957550949689212,0.1506941286032963,0.018149134775734738,0
E14001064,Aldridge-Brownhills,93607.0,39205.0,0.17791404488980525,0.0899291719636352,0.11461749655474483,0.17771106861666328,0.2120781565481214,0.22775006142703003,0.9366393538944737,0.004166355080282458,0.01527663529436901,0.008418173854519427,0.030702832053158418,0.004102257309816573,0.0006943925133804096,0.8318288162210091,0.021782558996656234,0.08698067452220454,0.020799726516179347,0.02402598096296217,0.0145822427809886,0.3187082024656539,0.5365468025553918,0.0023502766916650643,0.01287310642480183,0.0002777599726513258,0.022039185522295578,0.052325705617161294,0.0048180672179133814,0.050060893532465865,0.4197933936997832,0.33189644178038513,0.10753730391531692,0.13416656038770566,0.00660630021680908,6
E14001065,Altrincham and Sale West,100924.0,40763.0,0.21283341920653165,0.0822599183544053,0.10071935317664778,0.21904601482303515,0.1948594982362966,0.1902817962030835,0.8540882248028219,0.01099837501486267,0.030953985176964845,0.01599223177836788,0.07743450517220879,0.007986207443224605,0.0025464706115492846,0.7514961753398597,0.0541199318298918,0.12081368158218066,0.016517379414212673,0.03218263247592248,0.024870199357932703,0.3168919186714756,0.5053802861559193,0.004706511830684475,0.02975506321588522,0.020906820974198406,0.06405810312710554,0.004042645951408981,0.004112005073124331,0.05014664500019817,0.3771557539925913,0.3646444079189461,0.13809091578146848,0.1137551210656723,0.006353801241321787,5
W07000082,Alyn and Deeside,102072.0,43775.0,0.18195979308723254,0.08995610941296339,0.13046672936750528,0.1913257308566502,0.20838231836350812,0.19790931891214045,0.9218884708832981,0.003086056901011051,0.05675405596049847,0.004751547926953523,0.009650050944431382,0.0027823497139274236,0.0010874676698800847,0.9166862606787366,0.05596049847166706,0.011148992867779607,0.002263108394074771,0.009943961125480053,0.003997178462261932,0.41043174982610486,0.5098214023297052,0.0025569935242424537,0.0025667904342970226,0.0003624856720190452,0.005525457270776797,0.00019593820109137578,0.002929276106316068,0.06560990663544718,0.3624214734437464,0.3443974871501999,0.1376584808680754,0.15058823529411763,0.004934323243860651,6
E14001066,Amber Valley,90322.0,40414.0,0.16952117353999446,0.0869526709106006,0.1250041516745087,0.17908663160808191,0.2195294768890119,0.2199058953778024,0.9643280227627514,0.0021589185478781705,0.020149906446862924,0.003487483808110891,0.006199971214419362,0.0025907022574538047,0.0010849949625233882,0.9542857775514271,0.02258585948052523,0.008026837315382741,0.0026128739399038994,0.010650782755031996,0.001837868957729014,0.49017936226749337,0.43866253321523474,0.0021811337466784765,0.0012843224092116917,0.000420726306465899,0.002424712134632418,0.0015279007971656332,0.0054140832595217,0.0579052258635961,0.39224031276290394,0.3073687336071658,0.14786955015588657,0.14648389172069085,0.006037511753352798,6
E14001067,Arundel and South Downs,97177.0,42256.0,0.1586486514298651,0.07529559463659097,0.08165512415489262,0.16092285211521246,0.2347366146310341,0.28874116303240477,0.9195068741252984,0.0052687906478966,0.03136576932575945,0.014880217337614226,0.013902609697867786,0.010187700666831317,0.004888038198732197,0.924016505623643,0.04382634108192099,0.01013593471840624,0.0034060856769466655,0.01474598421469659,0.0038691486843865446,0.3815962789166049,0.542397299744793,0.0036634559973656045,0.0019140528525561867,0.0022124804478472052,0.0026343953239483,0.0003704618424302297,0.0046410636371120445,0.060570511237342556,0.4435819765240439,0.2861605452480121,0.14326959485043544,0.1165514956455888,0.010436387731919728,2
E14001068,Ashfield,95021.0,40933.0,0.18491507229904652,0.09249436972490581,0.12812822293784598,0.1834417292837448,0.2112037212435015,0.19981688451095536,0.9401500720893277,0.0014312625630123867,0.0367392471137959,0.007040548931288873,0.011081760873912083,0.0028309531577230297,0.0007261552709401079,0.9204070679113038,0.03698129887077593,0.014796729144083939,0.009713642247503183,0.013660138285221161,0.004441123541111965,0.5024889235011208,0.42058071373696343,0.0018522221403689712,0.0032413887456456993,0.00030519569358352364,0.006293345681480936,0.0021047978867829217,0.004377979604508477,0.058755433009545256,0.3592944567952508,0.3109471575501429,0.16915447194195393,0.1543986514548164,0.006205262257835976,6
E14001069,Ashford,106816.0,42350.0,0.2054467495506291,0.09618409227082085,0.13834069802276813,0.19806021569802276,0.1924337177950869,0.16953452666267227,0.8476071000599161,0.003772843019772319,0.05021719592570401,0.024209856201318155,0.06432556920311563,0.007442705212702217,0.0024247303774715396,0.8035406680647094,0.0566113690832834,0.06968993409227082,0.02978018274415818,0.02357324745356501,0.016804598562013183,0.4182839488835838,0.45504844825165003,0.011983335673828583,0.0249122314281702,0.0010110939474792867,0.01885502972428966,0.0010579038524551796,0.013499976595047512,0.05534803164349576,0.3028571428571429,0.3454073199527745,0.1927744982290437,0.1407319952774498,0.018229043683589137,0
E14001070,Ashton-under-Lyne,100040.0,42224.0,0.20579973810214017,0.09831165845320325,0.1405351912754026,0.19403432661262107,0.19810273993142674,0.16321634562520618,0.8539984006397441,0.0041883246701319475,0.042093162734906035,0.027409036385445822,0.06817273090763694,0.0033386645341863257,0.0007996801279488205,0.7557528139307064,0.03919510585977329,0.1363082028829045,0.03262760151142566,0.02405086067294428,0.012065415142245947,0.3499800079968013,0.4667233106757297,0.0024790083966413435,0.024470211915233908,0.0004498200719712115,0.10562774890043983,0.001209516193522591,0.003988404638144742,0.04507197121151539,0.2915403561955286,0.28412751042061385,0.195481242895036,0.22499052671466466,0.0038603637741568774,0
